"","Date of Final Decision","Submission Number","Device","Company","Panel (Lead)","Primary Product Code"
"240","03/09/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192574"", ""K192574"")","Vantage Galan 3T, MRT-3020, V6.0 With AiCE Reconstruction Processing Unit For MR","Canon Medical Systems Corporation","Radiology","LNH"
"241","03/09/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193216"", ""K193216"")","Syngo.CT Lung CAD","Siemens Medical Solutions, Inc","Radiology","OEB"
"242","03/12/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192388"", ""K192388"")","SonoVision Ultrasound Imaging System","Tissue Differentiation Intelligence, LLC","Radiology","IYN"
"243","03/16/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193267"", ""K193267"")","Al-Rad Companion (Musculoskeletal)","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"244","03/18/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193658"", ""K193658"")","Viz ICH","Viz.Ai, Inc.","Radiology","QAS"
"245","03/20/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193281"", ""K193281"")","Hepatic VCAR","GE Medical Systems SCS","Radiology","JAK"
"246","03/20/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200036"", ""K200036"")","AI-ECG Tracker","Shenzhen Carewell Electronics Co., Ltd.","Cardiovascular","DPS"
"247","03/25/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192437"", ""K192437"")","Arterys MICA","Arterys Inc.","Radiology","QIH"
"248","03/25/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192854"", ""K192854"")","MammoScreen","Therapixel","Radiology","QDQ"
"249","03/26/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192732"", ""K192732"")","Bodyguardian Remote Monitoring System","Preventice Technologies, Inc.","Cardiovascular","DSI"
"250","03/26/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193518"", ""K193518"")","KOSMOS","EchoNous, Inc.","Radiology","IYN"
"251","03/31/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193087"", ""K193087"")","Rapid ICH","ISchemaView Incorporated","Radiology","QAS"
"252","04/08/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193300"", ""K193300"")","AIMI-Triage CXR PTX","RADLogics, Inc.","Radiology","QFM"
"253","04/10/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193282"", ""K193282"")","Signa Premier","GE Healthcare (GE Medical Systems, LLC)","Radiology","LNH"
"254","04/13/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192167"", ""K192167"")","CuraRad-ICH","CuraCloud Corp.","Radiology","QAS"
"255","04/16/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200755"", ""K200755"")","Caption Guidance","Caption Health, Inc.","Radiology","QJU"
"256","04/21/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193351"", ""K193351"")","NinesAI","Nines, Inc.","Radiology","QAS"
"257","05/01/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201012"", ""K201012"")","EPIQ Diagnostic Ultrasound System Series, Affiniti Diagnostic Ultrasound System Series, CX50 Diagnostic Ultrasound System, Sparq Diagnostic Ultrasound System, Lumify Diagnostic Ultrasound System","Philips Ultrasound, Inc.","Radiology","IYN"
"258","05/05/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193176"", ""K193176"")","uMR 780","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","LNH"
"259","05/05/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193220"", ""K193220"")","AVIEW LCS","Coreline Soft Co., Ltd","Radiology","LLZ"
"260","05/12/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192901"", ""K192901"")","HealthVCF","Zebra Medical Vision Ltd.","Radiology","QFM"
"261","06/01/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192601"", ""K192601"")","uWS-MR","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","QIH"
"262","06/03/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200974"", ""K200974"")","QLAB Advanced Quantification Software","Philips Healthcare","Radiology","QIH"
"263","06/11/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200356"", ""K200356"")","MEDO ARIA","MEDO.ai","Radiology","QIH"
"264","06/11/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200980"", ""K200980"")","Auto 3D Bladder Volume Tool","Butterfly Network, Inc.","Radiology","IYO"
"265","06/17/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193290"", ""K193290"")","AI-Rad Companion Brain MR","Siemens Medical Solutions USA, Inc.","Radiology","LLZ"
"266","06/17/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200921"", ""K200921"")","QER","Qure.Ai Technologies","Radiology","QAS"
"267","06/19/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193298"", ""K193298"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"268","06/23/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200232"", ""K200232"")","LVivo Software Application","DiA Imaging Analysis Ltd","Radiology","QIH"
"269","06/24/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200855"", ""K200855"")","CINA","AVICENNA.AI","Radiology","QAS"
"270","06/26/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200760"", ""K200760"")","Rapid ASPECTS","ISchemaView Inc.","Radiology","POK"
"271","07/02/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192880"", ""K192880"")","InferRead Lung CT.AI","Beijing Infervision Technology Co.,Ltd.","Radiology","OEB"
"272","07/02/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193252"", ""K193252"")","Contour ProtégéAI","MIM Software, Inc.","Radiology","QKB"
"273","07/06/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193073"", ""K193073"")","Deep Recon","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","JAK"
"274","07/09/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200941"", ""K200941"")","Rapid LVO","iSchemaView, Inc.","Radiology","QAS"
"275","07/10/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192969"", ""K192969"")","Ezra Plexo Software","Ezra AI Inc.","Radiology","QIH"
"276","07/10/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193294"", ""K193294"")","AI-Rad Companion Engine","Siemens Medical Solutions USA, Inc.","Radiology","LLZ"
"277","07/14/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193097"", ""K193097"")","Vantage Orian 1.5T, MRT-1550, V6.0 With AiCE Reconstruction Processing Unit For MR","Canon Medical Systems Corporation","Radiology","LNH"
"278","07/16/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200497"", ""K200497"")","Vivid S60N, Vivid S70N","GE Medical Systems Ultrasound and Primary Care Diagnostics, LLC","Radiology","IYN"
"279","07/16/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200905"", ""K200905"")","HealthMammo","Zebra Medical Vision Ltd.","Radiology","QFM"
"280","07/22/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200621"", ""K200621"")","Caption Interpretation Automated Ejection Fraction Software","Caption Health","Radiology","QIH"
"281","07/23/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200743"", ""K200743"")","Vivid E80/ Vivid E90/ Vivid E95","GE Medical Systems Ultrasound and Primary Care Diagnostics, LLC","Radiology","IYN"
"282","07/30/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193283"", ""K193283"")","AI-Rad Companion Prostate MR","Siemens Medical Solutions USA Inc","Radiology","QIH"
"283","07/30/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193417"", ""K193417"")","FractureDetect (FX)","Imagen Technologies, Inc.","Radiology","QBS"
"284","08/03/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200667"", ""K200667"")","EyeArt","Eyenuk, Inc","Ophthalmic","PIB"
"285","08/04/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193210"", ""K193210"")","HYPER DLR","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","KPS"
"286","08/07/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200990"", ""K200990"")","Vida|Vision","Vida Diagnostics Inc.","Radiology","JAK"
"287","08/07/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201310"", ""K201310"")","Accipiolx","MaxQ Al Ltd.","Radiology","QAS"
"288","08/13/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201232"", ""K201232"")","Limbus Contour","Limbus Ai Inc.","Radiology","LLZ"
"289","08/13/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201444"", ""K201444"")","syngo.via RT Image Suite","Siemens Medical Solutions USA, Inc.","Radiology","MUJ"
"290","08/14/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201632"", ""K201632"")","Tomtec-Arena","Tomtec Imaging Systems Gmbh","Radiology","LLZ"
"291","08/26/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200714"", ""K200714"")","AVIEW","Coreline Soft Co., Ltd.","Radiology","LLZ"
"292","08/26/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201020"", ""K201020"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"293","09/02/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200833"", ""K200833"")","RX-1 Rhythm Express Remote Cardiac Monitoring System","VivaQuant Inc.","Cardiovascular","MLO"
"294","09/06/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201841"", ""K201841"")","EyeBOX","Oculogica, Inc.","Neurology","QEA"
"295","09/09/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200708"", ""K200708"")","Vivid iq","GE Medical Systems Ultrasound and Primary Care Diagnostics, LLC","Radiology","IYN"
"296","09/09/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200851"", ""K200851"")","Vivid T8, Vivid T9","GE Medical Systems Ultrasound and Primary Care Diagnostics, LLC","Radiology","IYN"
"297","09/15/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192665"", ""K192665"")","Accelerate Pheno System, Accelerate Phenotest Bc Kit","Accelerate Diagnostics, Inc.","Microbiology","PRH"
"298","09/16/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201298"", ""K201298"")","VX1","Volta Medical","Cardiovascular","DQK"
"299","09/16/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201369"", ""K201369"")","AVA (Augmented Vascular Analysis)","See-Mode Technologies Pte. Ltd.","Radiology","LLZ"
"300","09/18/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200852"", ""K200852"")","EchoPAC Software Only, EchoPAC Plug-In","GE Medical Systems Ultrasound and Primary Care Diagnostics, LLC","Radiology","LLZ"
"301","09/18/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201992"", ""K201992"")","Caption Guidance","Caption Health","Radiology","QJU"
"302","09/24/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200569"", ""K200569"")","Raystation","Raysearch Laboratories Ab (Publ)","Radiology","MUJ"
"303","09/25/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201103"", ""K201103"")","Xeleris V Processing And Review Systems","GE Healthcare","Radiology","LLZ"
"304","09/29/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202546"", ""K202546"")","LVivo Seamless","DiA Imaging Analysis Ltd.","Radiology","QIH"
"305","09/30/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192051"", ""K192051"")","THINQ","CorticoMetrics LLC","Radiology","LLZ"
"306","10/02/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201301"", ""K201301"")","X100 With Full Field Peripheral Blood Smear (Pbs) Application","Scopio Labs Ltd.","Hematology","JOY"
"307","10/02/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202280"", ""K202280"")","Cleerly Labs V2.0","Cleerly, Inc.","Radiology","LLZ"
"308","10/02/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202170"", ""K202170"")","LiverMultiScan","Perspectum Ltd.","Radiology","LNH"
"309","10/09/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193631"", ""K193631"")","Stethee Pro 1, Stethee Pro Software System","M3DICINE Pty Ltd.","Cardiovascular","DQD"
"310","10/11/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202501"", ""K202501"")","Quantib Prostate","Quantib BV","Radiology","LLZ"
"311","10/16/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200595"", ""K200595"")","CellaVision DC-1, CellaVision DC-1 PPA","CellaVision AB","Hematology","JOY"
"312","10/16/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201710"", ""K201710"")","A View LCS","Coreline Soft Co., Ltd.","Radiology","LLZ"
"313","10/28/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202089"", ""K202089"")","Lenshooke X1 Pro Semen Quality Analyzer, Lenshooke X1 Pro Se Semen Quality Analyzer","Bonraybio Co., Ltd.","Hematology","POV"
"314","10/30/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200323"", ""K200323"")","Autocontour","Radformation, Inc.","Radiology","QKB"
"315","10/30/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202013"", ""K202013"")","WRDensity by Whiterabbit.ai","Whiterabbit.ai Inc.","Radiology","QIH"
"316","11/06/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193562"", ""K193562"")","AI-Rad Companion Organs RT","Siemens Medical Solutions USA, Inc.","Radiology","QKB"
"317","11/06/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200750"", ""K200750"")","Neuro.Al Algorithm","TeraRecon, Inc.","Radiology","LLZ"
"318","11/12/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193289"", ""K193289"")","FastStroke, CT Perfusion 4D","GE Medical Systems SCS","Radiology","JAK"
"319","11/12/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201985"", ""K201985"")","KardiaAI","AliveCor, Inc.","Cardiovascular","DQK"
"320","11/17/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193306"", ""K193306"")","PROView","GE Medical Systems SCS","Radiology","LLZ"
"321","11/18/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201019"", ""K201019"")","Genius AI Detection","Hologic, Inc.","Radiology","QDQ"
"322","11/18/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201195"", ""K201195"")","syngo.via MI Workflows, syngo MBF","Siemens Medical Solutions USA, Inc.","Radiology","LLZ"
"323","11/20/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200873"", ""K200873"")","HALO","NICo-Lab B.V.","Radiology","QAS"
"324","11/20/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203169"", ""K203169"")","Revolution Ascend","GE Healthcare Japan Corporation","Radiology","JAK"
"325","11/20/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193287"", ""K193287"")","CorInsights MRI","ADM Diagnostics","Radiology","LLZ"
"326","12/04/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202487"", ""K202487"")","HealthJOINT","Zebra Medical Vision Ltd.","Radiology","LLZ"
"327","12/07/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201039"", ""K201039"")","HepaFat-AI","Resonance Health Analysis Services Pty Ltd.","Radiology","LNH"
"328","12/10/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201745"", ""K201745"")","Deep Learning Image Reconstruction For Gemstone Spectral Imaging","GE Medical Systems, LLC","Radiology","JAK"
"329","12/10/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203042"", ""K203042"")","Aquilion Exceed LB (TSX-202A/3) V10.6 With AiCE-I","Canon Medical Systems Corporation","Radiology","JAK"
"330","12/18/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201555"", ""K201555"")","EchoGo Pro","Ultromics Ltd.","Radiology","POK"
"331","12/22/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202229"", ""K202229"")","AI Metrics","AI Metrics, LLC","Radiology","LLZ"
"332","12/29/2020","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203508"", ""K203508"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"333","01/07/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202414"", ""K202414"")","BrainInsight","Hyperfine Research, Inc.","Radiology","LLZ"
"334","01/08/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203329"", ""K203329"")","HeartFlow Analysis","HeartFlow, Inc.","Cardiovascular","PJA"
"335","01/09/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200717"", ""K200717"")","CLEWICU System (ClewICUserver and ClewICUnitor)","Clew Medical Ltd.","Cardiovascular","QNL"
"336","01/11/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpma/pma.cfm?ID=P200003"", ""P200003"")","Imagio Breast Imaging System","Seno Medical Instruments, Inc.","Radiology","QNK"
"337","01/12/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201836"", ""K201836"")","Aquilion Lightning (TSX-036A/7) V10.2 With AiCE-I","Canon Medical Systems Corporation","Radiology","JAK"
"338","01/12/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203280"", ""K203280"")","Hepatica V1 (Hepatica V1.0.0)","Perspectum Ltd.","Radiology","LNH"
"339","01/14/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202700"", ""K202700"")","ART-Plan","TheraPanacea","Radiology","QKB"
"340","01/15/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K193271"", ""K193271"")","UAI Easytriage-Rib","Shanghai United Imaging Intelligence Co., Ltd.","Radiology","QFM"
"341","01/15/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202767"", ""K202767"")","Vantage Orian 1.5T, MRT-1550, V6.0","Canon Medical Systems Corporation","Radiology","LNH"
"342","01/29/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201411"", ""K201411"")","Visage Breast Density","Visage Imaging GmbH","Radiology","QIH"
"343","02/04/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203582"", ""K203582"")","QUIBIM Precision Prostate (qp-Prostate)","QUIBIM S.L.","Radiology","LLZ"
"344","02/05/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210053"", ""K210053"")","LVivo Software Application","DiA Imaging Analysis Ltd.","Radiology","QIH"
"345","02/09/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203103"", ""K203103"")","Synapse 3D, Synapse 3D Base Tools v6.1","Fujifilm Corporation","Radiology","LLZ"
"346","02/19/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202212"", ""K202212"")","Truplan","Circle Cardiovascular Imaging Inc.","Radiology","LLZ"
"347","02/25/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202990"", ""K202990"")","NinesMeasure","Nines, Inc.","Radiology","LLZ"
"348","02/25/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203578"", ""K203578"")","OTIS 2.1 Optical Coherence Tomography System, THiA Optical Coherence Tomography System","Perimeter Medical Imaging AI, Inc.","General and Plastic Surgery","NQQ"
"349","02/26/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203182"", ""K203182"")","SubtleMR","Subtle Medical, Inc.","Radiology","LLZ"
"350","03/01/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN200022"", ""DEN200022"")","Analytic for Hemodynamic Instability (AHI)","Fifth Eye Inc.","Cardiovascular","QNV"
"351","03/02/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203617"", ""K203617"")","MaxFOV 2","GE Medical Systems, LLC.","Radiology","JAK"
"352","03/04/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203323"", ""K203323"")","Vantage Galan 3T, MRT-3020, V6.0 with AiCE Reconstruction Processing Unit for MR","Canon Medical Systems Corporation","Radiology","LNH"
"353","03/05/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202300"", ""K202300"")","Optellum Virtual Nodule Clinic, Optellum Software, Optellum Platform","Optellum Ltd","Radiology","POK"
"354","03/09/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203256"", ""K203256"")","Imbio RV/LV Software","Imbio, LLC","Radiology","QIH"
"355","03/12/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202284"", ""K202284"")","Oncospace","Oncospace, Inc.","Radiology","MUJ"
"356","03/12/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203822"", ""K203822"")","ProFound AI Software V3.0","ICAD Inc.","Radiology","QDQ"
